#,,,,,
ספק ראשי,קוד פריט,תאור פריט,ספירה מעודכנת,תאור לועזי,עלות 
ALLIED,NDTH262-0011,#132A-0101 (26.19)     CPM- M4+TIALN/PVD,2,"להב קידוח, דגם HSSCO,T-A מצופה",0
ALLIED,NDTH139-0011,#150A-.546  (13.87)    CPM-T15+TIALN/PVD,2,"להב קידוח, דגם HSSCO,T-A מצופה",26.29
ALLIED,NDTH163-0011,#150A-.640  (16.26)    CPM-T15+TIALN/PVD,4,"להב קידוח, דגם HSSCO,T-A מצופה",26.29
ALLIED,NDTH15240020,#150A-0020-SP(D=15.24) CPM-T15+TIALN/PVD,2,"להב קידוח, דגם HSSCO,T-A מצופה",91.43
ALLIED,NDTH167-0011,#150A-0021  (16.67)    CPM-T15+TIALN/PVD,4,"להב קידוח, דגם HSSCO,T-A מצופה",26.29
ALLIED,NDTH130-0020,#150A-13               CPM-T15+TIALN/PVD,2,"להב קידוח, דגם HSSCO,T-A מצופה",26.29
ALLIED,NDTH165-0020,#150A-16.5             CPM-T15+TIALN/PVD,2,"להב קידוח, דגם HSSCO,T-A מצופה",26.29
ALLIED,NDTH139-0010,#150T-.546               CPM-T15+TIN/PVD,2,"להב קידוח, דגם HSS  ,T-A מצופה",22.05
ALLIED,NDTH163-0012,#150T-.640               CPM-T15+TIN/PVD,4,"להב קידוח, דגם HSS  ,T-A מצופה",22.05
ALLIED,NDTB158-0010,#150T-0020-FB  (15.875)  CPM-T15+TIN/PVD,6,"להב קידוח שטוח מצופה, דגם T-A",110
ALLIED,NDTB174-0010,#150T-0022-FB   (17.46)  CPM-T15+TIN/PVD,5,"להב קידוח שטוח מצופה, דגם T-A",117.22
ALLIED,NDTB130-0010,#150T-13-FB              CPM-T15+TIN/PVD,8,"להב קידוח שטוח מצופה, דגם T-A",102.41
ALLIED,NDTH140-0010,#150T-14.0               CPM-T15+TIN/PVD,4,"להב קידוח, דגם HSS  ,T-A מצופה",52.26
ALLIED,NDTB140-0010,#150T-14-FB              CPM-T15+TIN/PVD,8,"להב קידוח שטוח מצופה, דגם T-A",95.15
ALLIED,NDTH155-0010,#150T-15.5               CPM-T15+TIN/PVD,3,"להב קידוח, דגם HSS  ,T-A מצופה",22.05
ALLIED,NDTB150-0010,#150T-15-FB              CPM-T15+TIN/PVD,11,"להב קידוח שטוח מצופה, דגם T-A",93.86
ALLIED,NDTB160-0010,#150T-16-FB              CPM-T15+TIN/PVD,16,"להב קידוח שטוח מצופה, דגם T-A",93.86
ALLIED,NDTB170-0010,#150T-17-FB              CPM-T15+TIN/PVD,8,"להב קידוח שטוח מצופה, דגם T-A",102.41
ALLIED,NDTH17860010,#151A-.703  (17.86)   CPM- T15+TIALN/PVD,8,"להב קידוח, דגם HSSCO,T-A מצופה",27.54
ALLIED,NDTH226-0011,#151A-.890  (22.62)   CPM- T15+TIALN/PVD,4,"להב קידוח, דגם HSSCO,T-A מצופה",29.48
ALLIED,NDTH206-0010,#151A-0026  (20.64)   CPM- T15+TIALN/PVD,4,"להב קידוח, דגם HSSCO,T-A מצופה",6.1
ALLIED,NDTH238-0012,#151A-0030  (23.81)   CPM- T15+TIALN/PVD,4,"להב קידוח, דגם HSSCO,T-A מצופה",29.48
