company,code,subcode,amount,description,price
DIJET,NMDSD12-0080,SDHW 1204PDTR       (PVD)          JC8015,250,"לוח'כר'מתקש מצופה,DIJET,כר'90",13.51
DIJET,NMIAP16-2070,APMT 160416PDER                   JC8050,240,"לוח'כרסום,מתקש מצופה,לכרס'(90)",14.5
DIJET,NMDSD12-0050,SDMT 1204PDER      (PVD)          JC5040,210,"לוח'כר'מתקש מצופה,DIJET,כר'90",13.94
DIJET,NMIAP10-0125,APKT 1003PDER-05                  JC5118,200,"לוח'כרס',מתק""ש מצופה,ל-90ISCAR",12.68
DIJET,,SNMG120408-SZ       JC5118,200,,
DIJET,NMIAP10-0135,APKT 1003PDER-05                  JC8050,180,"לוח'כרס',מתק""ש מצופה,ל-90ISCAR",11.55
DIJET,NMDRD12-0410,RDMW 1204M0T    (PVD)             JC8015,180,לוחית כרסום  מצופה עגולה,13.98
DIJET,NTIWN08-5380,WNMG 080408-SZ     (PVD)          JC5118,180,"לוחית לחריטה, מתק""ש מצופה",13.79
DIJET,,SNMG120412-SZ       JC5118,180,,
DIJET,NMDSD12-0070,SDMT 1204PDER       (PVD)          JC8050,170,"לוח'כר'מתקש מצופה,DIJET,כר'90",14.35
DIJET,NTIWN08-5375,WNMG 080404-SZ     (PVD)          JC5118,160,"לוחית לחריטה, מתק""ש מצופה",13.47
DIJET,NMDSP12-0015,IM-SP43GS          (PVD)          JC5118,140,"לוח'כר'מתקש מצופה,DIJET,כר'90",13.72
DIJET,,APMT160408PDER       JC8050,140,,
DIJET,,ADMT100316PDER       JC8050,130,,
DIJET,,ZPMT 100308ZER-SL                    JC7518,130,,
DIJET,NMDSD12-0060,SDMT 1204PDER      (PVD)          JC8015,120,"לוח'כר'מתקש מצופה,DIJET,כר'90",13.05
DIJET,NMHEP08-0062,XDMW 080620ZTR   (PVD)            JC7560,110,לוחית כרסום DIJET מצופה  משובעת (7 צלעות),14.41
DIJET,NMIEP10-0220,YPHW 100308ZER-1.5  (CERMET)        CX75,110,לוחית ימנית high feed milling לפלדה CERMET,17.59
DIJET,,EOMW 060210ZER              JC8118,110,,
DIJET,NTICN12-5410,CNMG 120408-SZ    (PVD)           JC5118,100,"לוחית לחריטה, מתק""ש מצופה",12.1
DIJET,NMIZP10-0250,ZPMT 100304ZER                    JC8050,100,לוחית ימנית לכרסום,16.94
DIJET,,ADMT100316PDER       JC5118,100,,
DIJET,,ADMT100316PDER       JC8015,100,,
DIJET,,IM-SP43GS-PH                      JC8050,100,,
DIJET,,RDMW 1004MOT                  JC8015,100,,
DIJET,,SDEW 090312ZER.                      JC7518,100,,
DIJET,NMDWD08-0245,WDMT 080520ZER    (PVD)           JC8050,90,לוחית כרסום  ל-HIGH FEED MILLING,20.4
DIJET,NMIZP10-0200,ZPMT 100304ZER                    JC5118,90,לוחית ימנית לכרסום,15.85
