company,code,subcode,במלאי,amount,description,price ,סהכ,category,subcategory,izo,grade,currency
DIJET,NMDMSSP-0575,#DSW-307H..................(FOR SWB 220),1,20,בורג הידוק ללוחית SWB 220,13.33, ₪  266.60 ,inserts,,,,ILS
DIJET,NMDMSSP-0161,#SM-SE13 MR2    (SHIM FOR SE13T3)........,6,50,תחתית ללוחית SEMT13T3,28.12," ₪  1,406.00 ",inserts,,,,ILS
DIJET,NMDMSSP-0180,#TSW-3612H..................(FOR SE13T3),11,11,בורג הידוק ללוחית SEMT 13T3,16.53, ₪  181.83 ,inserts,,,,ILS
DIJET,NMDFM50-0010,"ALX-4050R-22            (D50,d22,Z4,l50)",1,1,ראש כרסום מהיר DIJET לטיטניום/אלומיניום,0.05, ₪  0.05 ,milling,,,,ILS
DIJET,NMIAP10-0125,APKT 1003PDER-05                  JC5118,110,200,"לוח'כרס',מתק""ש מצופה,ל-90ISCAR",12.68," ₪  2,536.00 ",milling,,,,ILS
DIJET,NMIAP10-0135,APKT 1003PDER-05                  JC8050,80,180,"לוח'כרס',מתק""ש מצופה,ל-90ISCAR",11.55," ₪  2,079.00 ",milling,,,,ILS
DIJET,NMIAP16-2070,APMT 160416PDER                   JC8050,10,240,"לוח'כרסום,מתקש מצופה,לכרס'(90)",14.5," ₪  3,480.00 ",milling,,APKT,JC5118,ILS
DIJET,NDMSB06-0040,BNM-060-S                         JC8008,6,6,"להב מתק""ש כדורי MIROR.BALL",73.66, ₪  441.96 ,blades,,,,ILS
DIJET,NDMBB08-0010,BNM-080                           JC5003,1,1,"להב מתק""ש כדורי MIROR.BALL",67.14, ₪  67.14 ,blades,,,,ILS
DIJET,NDMBB08-0030,BNM-080                           JC5015,1,1,"להב מתק""ש כדורי MIROR.BALL",67.14, ₪  67.14 ,blades,,,,ILS
DIJET,NDMSB08-0020,BNM-080-S                         JC8008,7,10,"להב מתק""ש כדורי MIROR.BALL",61.6, ₪  616.00 ,blades,,,,ILS
DIJET,NDMSB10-0020,BNM-100-SH   (PVD)               JC6102,2,2,להב כדורי מפותל MIROR.BALL,71.67, ₪  143.34 ,blades,,,,ILS
DIJET,NDMSB12-0010,BNM-120-S    (PVD)                JC8008,8,2,להב כדורי מפותל MIROR.BALL,72.06, ₪  144.12 ,blades,,,,ILS
DIJET,NDMSB16-0010,BNM-160-S    (PVD)                JC8008,4,2,להב כדורי מפותל MIROR.BALL,85.21, ₪  170.42 ,blades,,,,ILS
DIJET,NDMSB20-0010,BNM-200-S    (PVD)                JC8008,8,12,להב כדורי מפותל MIROR.BALL,104.37," ₪  1,252.44 ",blades,,,,ILS
DIJET,NDMBS06-0016,"BNMS-060017S-S06C(D06,d6.0,l17,L60)",1,1,"קנה מתק""ש ,קצר,ל-MIRROR BALL",569.04, ₪  569.04 ,shanks,,,,ILS
DIJET,NDMBS06-0010,"BNMS-060030T-S10 (D06,d10,l0=15,l30,L80)",1,1,"קנה פלדה ,קצר,ל-MIRROR BALL",586.52, ₪  586.52 ,shanks,,,,ILS
DIJET,NDMBS06-0015,"BNMS-060030T-S10C(D06,d10,l0=30,l30,L80)",1,1,"קנה מתק""ש ,קצר,ל-MIRROR BALL",644.84, ₪  644.84 ,shanks,,,,ILS
DIJET,NTICN12-2900,CNMG 120404-UB                    JC110V,10,10,"לוחית לחריטה, מתק""ש מצופה",5.94, ₪  59.40 ,inserts,engraving,,,ILS
DIJET,NTICN12-5155,CNMG 120408L-SG                   JC8015,20,20,"לוחית לחריטה, מתק""ש מצופה",11.75, ₪  235.00 ,inserts,engraving,,,ILS
DIJET,NTICN12-5110,CNMG 120408R-SG                   JC110V,10,10,"לוחית לחריטה, מתק""ש מצופה",11.33, ₪  113.30 ,inserts,engraving,,,ILS
DIJET,NTICN12-5105,CNMG 120408R-SG                   JC8015,10,80,"לוחית לחריטה, מתק""ש מצופה",13," ₪  1,040.00 ",inserts,engraving,,,ILS
DIJET,NTICN12-5310,CNMG 120408-SF                    JC110V,10,10,"לוחית לחריטה, מתק""ש מצופה",11.4, ₪  114.00 ,inserts,engraving,,,ILS
DIJET,NTICN12-5410,CNMG 120408-SZ    (PVD)           JC5118,50,100,"לוחית לחריטה, מתק""ש מצופה",12.1," ₪  1,210.00 ",inserts,engraving,,,ILS
DIJET,NTICN12-5108,CNMG 120412R-SG                   JC8015,10,70,"לוחית לחריטה, מתק""ש מצופה",13, ₪  910.00 ,inserts,engraving,,,ILS
DIJET,NMTEMRD-0400,"DDM-2160-40-W16     (D09,A16,d16,L88,Z2)",1,1,"כר'אצ',לוחית עגולה,לוח'RD0702",261.34, ₪  261.34 ,milling,,,,ILS
