ספק ראשי,קוד פריט,תאור פריט,ספירה אחרונה,תאור לועזי,עלות 
RINECK,NMFXD16-0060,"#2.16.901      (90)     (D16,L23,M08,Z2)",3,"ראש כרס'מתב',90 מע',לוח'XD02",223.15
RINECK,NMFXD16-0050,"#2.16.914     (95)      (D16,L23,M08,Z2)",,"ראש כרס'מתב',95 מע',לוח'XD02",242.42
RINECK,NMTEMRD-0505,"#2.20.956           (D20,l40,d20,L90,Z2)",1,"כר'אצ' WELDON עם קרור פנימי,לוח'RD1003",165.75
RINECK,NMFXD25-0100,"#2.25.911       (95)    (D25,L35,M12,Z2)",2,"ראש כרס'מתב',95 מע',לוח'XD03",246.76
RINECK,NMFXD25-0110,"#2.25.917   (90)        (D25,L35,M12,Z2)",2,"ראש כרס'מתב',90 מע',לוח'XD03",249.25
RINECK,NMFXD20-0060,"#3.20.919     (90)      (D20,L30,M10,Z3)",5,"ראש כרס'מתב',90 מע',לוח'XD02",250.19
RINECK,NMFXD25-0050,"#3.25.912    (95)       (D25,L35,M12,Z3)",2,"ראש כרס'מתב',95 מע',לוח'XD02",255.26
RINECK,NMFXD25-0060,"#3.25.918   (90)        (D25,L35,M12,Z3)",4,"ראש כרס'מתב',90 מע',לוח'XD02",257.92
RINECK,NMDDM10-0061,"#3.25.985         (D25,Z3,L=32,M12,COOL)",3,"ראש כר',HSC,מתברג,לוח'עג'RD1003M0T",239.25
RINECK,NMDDM12-0071,"#3.32.816         (D32,Z3,L=42,M16,COOL)",1,"ראש כר',HSC,מתברג,לוח'עג'RD12T3M0T",269.66
RINECK,NMDDM12-0110,"#3.35.979         (D35,Z3,L=42,M16,COOL)",2,"ראש כר',HSC,מתברג,לוח'עג'RD12T3M0T",264.33
RINECK,NMFXD42-0050,"#4.42.909               (D42,L43,M16,Z4)",1,"ראש כרס'מתב',95 מע',לוח'XD03",282.63
RINECK,NMFXD42-0050,"#4.42.915               (D42,L43,M16,Z4)",1,"ראש כרס'מתב',90 מע',לוח'XD03",282.63
RINECK,NMTFMRD-0520,"#5.42.996           (D30,A42,F42,d16,Z5)",2,"כרס'שטח,לוחית עגולה,RD:12T3M0T",390.5
RINECK,BT40,#962-0875BT,1,,0
RINECK,NTRBT40-0400,"#962-1225BT              (SK40,M12,L=25)",3,אדפטור M12 לראש כרסום מתברג,219.95
RINECK,NTRBT40-0420,"#962-1250BT              (SK40,M12,L=50)",2,אדפטור M12 לראש כרסום מתברג,278.44
RINECK,NTRBT40-0530,"#962-16100BT            (BT40,M16,L=100)",1,אדפטור M16 לראש כרסום מתברג,381.65
RINECK,NTRBT40-0540,"#962-16125BT            (BT40,M16,L=125)",1,אדפטור M16 לראש כרסום מתברג,486.93
RINECK,NTRBT40-0550,"#962-16150BT            (BT40,M16,L=150)",1,אדפטור M16 לראש כרסום מתברג,442.54
RINECK,NTRBT40-0500,"#962-1625BT              (BT40,M16,L=25)",6,אדפטור M16 לראש כרסום מתברג,219.95
RINECK,NTRBT40-0511,"#962-1650BTZY        (BT40,M16,L=50 CYL)",1,אדפטור M16 לראש כרסום מתברג,239.06
RINECK,NTRBT40-0520,"#962-1675BT              (BT40,M16,L=75)",1,אדפטור M16 לראש כרסום מתברג,315.44
RINECK,NTRBT40-0521,"#962-1675BTZY        (BT40,M16,L=75 CYL)",1,אדפטור M16 לראש כרסום מתברג,262.86
RINECK,NBT4016-0300,"#972-BT401625     (d16,l1=25, COOLANT)",3,"אדפטר זכר BT40 d16 , קרור פנימי",253.79
RINECK,NBT4016-0310,"#972-BT401650     (d16,l1=50, COOLANT)",2,"אדפטר זכר BT40 d16 , קרור פנימי",225.75
RINECK,NBT4016-0400,"#972-BT402225       (d22,l1=25, COOLANT)",1,"אדפטר זכר BT40 d22 , קרור פנימי",253.79
RINECK,NBT4016-0410,"#972-BT402250       (d22,l1=50, COOLANT)",1,"אדפטר זכר BT40 d22 , קרור פנימי",260.44
RINECK,NTRKS16-0100,"#975-160820         (D=16,M=8,L1=20,A=68)",5,קנה WELDON לכרסום ראש מתפרק,151.7
RINECK,NTRKS16-0200,"#975-160840         (D=16,M=8,L1=40,A=88)",3,קנה WELDON לכרסום ראש מתפרק,180.96
RINECK,NTRKS20-0040,"#975-201025        (D=20,M=10,L1=25,L=75)",5,קנה WELDON לכרסום ראש מתפרק,158.41
RINECK,NTRKS20-0060,"#975-201045        (D=20,M=10,L1=45,L=95)",1,קנה WELDON לכרסום ראש מתפרק,187.53
RINECK,NTRKS25-0050,"#975-251230        (D=25,M=12,L1=30,L=86)",4,קנה WELDON לכרסום ראש מתפרק,180.96
RINECK,NTRKS32-0050,"#975-321630        (D=32,M=16,L1=30,L=90)",2,קנה WELDON לכרסום ראש מתפרק,198.72
RINECK,NTRKS32-0060,"#975-321650       (D=32,M=16,L1=50,L=100)",2,קנה WELDON לכרסום ראש מתפרק,197.98
RINECK,NTRDD40-0040,"#976-1040                (M10,D=18,L=40)",2,מאריך M12 לראש כרסום מתברג,176.54
RINECK,NTRDD40-0050,"#976-1240                (M12,D=21,L=40)",2,מאריך M12 לראש כרסום מתברג,185.95
RINECK,NTRDD40-0060,"#976-1260                (M12,D=21,L=60)",2,מאריך M12 לראש כרסום מתברג,200.79
RINECK,NTRDD40-0070,"#976-1640                (M16,D=29,L=40)",1,מאריך M16 לראש כרסום מתברג,205.49
RINECK,NTRDD40-0080,"#976-1660                (M16,D=29,L=60)",2,מאריך M16 לראש כרסום מתברג,221.24
RINECK,NTRDD40-0100,"#977-161240        (M16,D=M16,L=40,d=M12)",2,מאריך/מפחית M12-M16 לראש כרסום מתברג,205.49
RINECK,NTRKS12-0050,"#978-120620        (D=12,M=06,L1=20,L=65)",4,קנה לכרסום ראש מתפרק,162.39
RINECK,NTRKS25-0061,"#978-251230        (D=25,M=12,L1=30,L=86)",6,קנה לכרסום ראש מתפרק,185.67
RINECK,NTRKS32-0090,"#978-3216100     (D=32,M=16,L1=100,L=160)",2,קנה לכרסום ראש מתפרק,235.5
RINECK,,#6.42.999,1,,0
RINECK,,#6.66.927,1,,0
RINECK,,#920-A631650ZY,1,,0
RINECK,,#920-A631675,1,,0
RINECK,,#972-BT4027100,1,,0
RINECK,,#972-BT402275,1,,0
RINECK,,#972-BT402750,2,,0
RINECK,,#972-BT402755,1,,0
RINECK,,XDHW 0206-20 P40 ,10,,0
RINECK,,XDHW 0310-20 P25,10,,0
RINECK,,XDHW 0310-20 P40,10,,0
RINECK,,#962-10100BT,1,,0
RINECK,,XDHT 060210,30,,0
RINECK,,XDHT 10T310,40,,0
RINECK,,XDHT 03-10-10,30,,0
RINECK,,APHT 1003 PDFR-AL,10,,0
RINECK,,XDHT 0206-10,30,,0
RINECK,,#3.35.916,1,,0
RINECK,13,XDHW 0310-10 K10,10,,0
