ספק ראשי,קוד פריט,תאור פריט,נספר,תאור לועזי,עלות 
SCAMI,NRS0635-0011,#2410-ALA-06.35H7   Z=4     (FOR STEELS),1,"מקדד מתנפח,ארוךMGK20, ללא קרור",88.4
SCAMI,NRS0700-0010,#2410-ALA-07.00H7   Z=4     (FOR STEELS),2,"מקדד מתנפח,ארוךMGK20, ללא קרור",87.26
SCAMI,NRS0900-0010,#2410-ALA-09.00H7   Z=4     (FOR STEELS),1,"מקדד מתנפח,ארוךMGK20, ללא קרור",43.35
SCAMI,NRS1100-0010,#2410-ALA-11.00H7   Z=6     (FOR STEELS),1,"מקדד מתנפח,ארוךMGK20, ללא קרור",44.67
SCAMI,NRS1800-0010,#2410-ALA-18.00H7   Z=6     (FOR STEELS),1,"מקדד מתנפח,מתקשMGK20, ללא קרור",49.96
SCAMI,NRS1900-0010,#2410-ALA-19.00H7   Z=6     (FOR STEELS),1,"מקדד מתנפח,מתקשMGK20, ללא קרור",87.68
SCAMI,NRS1000-0020,#2410-ALG-10.00H7   Z=6  (FOR CAST IRON),1,"מקדד מתנפח,ארוךMGK20, ללא קרור",354.46
SCAMI,NRS1200-0020,#2410-ALG-12.00H7   Z=6  (FOR CAST IRON),2,"מקדד מתנפח,ארוךMGK20, ללא קרור",346.19
SCAMI,NRS0800-0030,#2410-KLG-08.00H7   Z=4  (FOR CAST IRON),4,מקדד ארוך מתנפח מצופה לברזל יציקה,324.34
SCAMI,NRS1600-0030,#2410-KLG-16.00H7   Z=4  (FOR CAST IRON),4,מקדד ארוך מתנפח מצופה לברזל יציקה,386.94
SCAMI,NRS0700-0012,#2420-ALG-07.00H7   Z=4  (FOR CAST IRON),3,"מקדד מתנפח,מתקשMGK20, ללא קרור",40.18
SCAMI,NRCM035-0010,#2531-MC-035          (RANGE 25.6-32.59),1,"קנה קצר מתנפח, עם טבעת",298.54
SCAMI,NRS1429-0010,#3610-ALA-14.287H7  Z=6     (FOR STEELS),1,"מקדד מתנפח,ארוךMGK20, עם קרור",136.79
SCAMI,NRS1900-0011,#3610-ALA-19.00H7   Z=6     (FOR STEELS),1,"מקדד מתנפח,ארוךMGK20, עם קרור",73.1
SCAMI,NRS1429-0013,#3610-ALG-14.29H7   Z=6    (FOR C.IRON),2,"מקדד מתנפח,ארוךMGK20, עם קרור",512.28
SCAMI,NRS1600-0013,#3610-ALG-16.00H7   Z=6    (FOR C.IRON),1,"מקדד מתנפח,ארוךMGK20, עם קרור",534.4
SCAMI,NRS1587-0012,#3620-ALA-15.875H7  Z=6     (FOR STEELS),1,"מקדד מתנפח,קצרMGK20, עם קרור",157.28
SCAMI,,#2430-ALG-15H7,2,,0
SCAMI,,#2450-ALG-6H7,1,,0
SCAMI,,#3610-KLA-8H7,4,,0
SCAMI,,#2501-MC-030 ***** משומש,1,,0
SCAMI,,#4555-MC-010 ******* משומש,1,,0
