ספק ראשי,,קוד פריט,ספירה אחרונה,description ,price
SMOXH,,"SMVT D31, C32 M16, L160-H",1,,0
SMOXH,,"HST (90) ZP10,D16 W16, L150 Z02-H",4,,0
SMOXH,,"SMVT D24, C25 M12, L200-H",1,,0
SMOXH,,"SMVT D18, C20 M10, L170-H",1,,0
SMOXH,,"HT90 AP10, D20 L87, A20 Z06",1,,0
SMOXH,,"HT90 AP10, D25 L105, A25 Z08-H",1,,0
SMOXH,,"HST (90) ZP10,D25 W25, L150 Z04-H",4,,0
SMOXH,,"SMVT D18, C20 M10, L120-H",5,,0
SMOXH,,"HST (90) ZP10, D20 W20, L150 Z03-H",4,,0
SMOXH,,"HST EN10, D20 W20 L150 Z03-H",1,,0
SMOXH,,"ST RD10, D20 C20, L200 Z02",4,,0
SMOXH,,"ST90 XO06 D20 W20, L120 Z04-H",2,,0
SMOXH,,"ST90 XO10 D20 W20, L120 Z03-H",2,,0
SMOXH,,"ST90 XO16 D16 W16, L120 Z03-H",3,,0
