ספק ראשי,קוד פריט,תאור פריט,ספירה מעודכנת,עלות ,
TEKNIK,,"50-40 SDMT 12, 50-Z4-022-R",1,,0
TEKNIK,A.E-0094,ADMT 1003 M.5 D21,10,,0
TEKNIK,A.E-0110,ADMT 1003 M2.5 D12,10,,0
TEKNIK,A.E-0112,ADMT 1003 M2.5 D20,10,,0
TEKNIK,A.E-0045,APMT 1604 IK D38,8,,0
TEKNIK,A.E-0046,APMT 1604 IK M4 D26,8,,0
TEKNIK,A.E-0048,APMT 1604 IK M4 D33 ,5,,0
TEKNIK,A.E-0067,APMT 1604 M4,7,,0
TEKNIK,A.E-0040,APMT 1604D D35,10,,0
TEKNIK,,HF06 20-06-120 APKT 10,2,,0
TEKNIK,,HF06 20-8-120 APKT 10,1,,0
TEKNIK,,HF07 25-08-120,3,,0
TEKNIK,,R144-1 16-2-150,3,,0
TEKNIK,,R200 20-2-150,1,,0
TEKNIK,,R210 20-2-200,3,,0
TEKNIK,,R236 25-2-150,3,,0
TEKNIK,,R244 25-2-200 RDMT 12,2,,0
TEKNIK,,S270 32-3-150,1,,0
TEKNIK,,S56 25-2-120,2,,0
TEKNIK,A.E-0002,SPMT 1204 M5 D40,8,,0
TEKNIK,A.E-0005,SPMT 1204 M5 D42,18,,0
TEKNIK,A.E-0006,SPMT 1204 M5 D52,1,,0
TEKNIK,A.E-0028,SPXX 1004 M3.5,1,,0
TEKNIK,A.E-0025,SPXX 100415 M3.5 D42,2,,0
TEKNIK,A.E-0026,SPXX 100415D D52,1,,0
TEKNIK,A.E-0030,SPXX 100415D M3.5 D26,1,,0
TEKNIK,A.E-0029,SPXX 100415D M3.5 D30,1,,0
TEKNIK,A.E-0023,SPXX 100415D M3.5 D33,1,,0
TEKNIK,A.E-0024,SPXX100415 M3.5 D38,3,,0
TEKNIK,A.E-0205,SX42CR 3232P08,14,,0
TEKNIK,,T181 40-4 APKT 16,2,,0
TEKNIK,,"UA10 D25,d20,L44",2,,0
TEKNIK,,"UA12 D25,d32,L46",1,,0
TEKNIK,,"UA14, D40-d32-L55",1,,0
TEKNIK,,VT098-1 20-2 M10 RDMT 10,3,,0
TEKNIK,,VT120-1 25-2 M10 RDMT 12,2,,0
TEKNIK,,VT128 40-4-M16,1,,0
TEKNIK,,"VT501,D15",2,,0
TEKNIK,,"VT503,D16",3,,0
TEKNIK,,"VT505,D16-L150-M08",3,,0
TEKNIK,,"VT507,D19",1,,0
TEKNIK,,"VT509,D20-L100-M10",5,,0
TEKNIK,,"VT513,D24",2,,0
TEKNIK,,"VT515,D25",2,,0
TEKNIK,,"VT519,D25",1,,0
TEKNIK,A.E-0015 D52,HDXW 0310 M3.5,7,,0
TEKNIK,A.E-0130,YPHW 100308 ZER-15 D49,1,,0
TEKNIK,A.E-0130,ZPMT 100308 ZER-PL D40,12,,0
TEKNIK,A.E-0056,ZPMT 13T3 M3 D26,10,,0
TEKNIK,,D42 Z4 SDNW 12 STOK STR24,10,,0
TEKNIK,,D52 Z5 SDNW 12 STOK STR12,10,,0
TEKNIK,,D50 Z5 SNEU 1206 IC TOK T164-1,4,,0
TEKNIK,,D63 Z6 SNEU 1206 IC TOK T165-1,2,,0
TEKNIK,,RDMT 12 40-4,4,,0
TEKNIK,,RDMT 12 50-5,3,,0
